User ID,Hotel ID,Ratings,Satisfaction,Staff,Facilities,Cleanliness,Comfort,Value for money,Location,Free Wifi
33,33,8.3,2,8.92,7.04,8.99,8.8,8.09,8.78,7.81
34,34,8.7,2,7.7,9.29,8.35,7.51,9.41,9.26,9.22
35,35,8.6,3,7.46,8.79,9.29,8.89,9.34,8.76,7.55
36,36,8.5,2,8.41,8.28,7.95,9.62,7.15,9.38,8.45
37,37,8.7,1,8.29,7.38,8.59,8.06,9.86,9.81,8.95
38,38,8.9,4,9.26,9.99,8.51,9.74,8.17,8.53,7.96
39,39,8.1,4,7.01,9.16,8.48,9.39,7.38,7.83,7.43
40,40,8.9,1,7.84,9.63,9.13,8.28,9.41,8.53,9.77
41,41,8.3,1,8.04,8.43,9.25,7.36,7.66,9.53,7.81
42,42,8.4,2,9.91,8.36,7.43,7.6,8.97,8.93,7.9
43,43,8.4,5,7.31,8.21,8.12,7.6,9.81,8.16,9.8
44,44,8.6,1,8.95,8.43,8.29,8.52,8.78,8.95,8.45
45,45,8.5,4,9.5,8.64,7.73,7.72,8.24,8.92,8.98
46,46,8.0,1,7.49,7.77,8.94,8.51,7.1,7.11,8.89
47,47,8.7,4,8.2,9.87,9.39,7.64,9.17,8.2,8.74
48,48,9.1,2,9.35,8.86,9.5,8.14,8.63,9.63,9.65
49,49,8.9,2,8.78,9.56,9.5,9.37,9.2,7.52,8.15
50,50,8.4,2,7.89,8.59,8.14,9.96,8.94,7.18,8.16
51,51,8.3,1,9.7,8.97,8.93,8.33,7.18,7.28,8.04
52,52,8.4,4,7.6,7.89,9.78,9.81,8.09,8.01,7.61
53,53,8.7,4,9.28,8.8,9.23,9.76,7.2,9.01,7.56
54,54,8.1,5,7.13,8.16,9.78,7.9,7.73,7.15,8.65
55,55,7.7,1,7.16,7.74,7.39,8.23,8.01,7.76,7.31
56,56,8.2,2,7.83,9.68,8.74,7.92,7.38,7.73,8.11
57,57,8.0,2,8.09,8.89,8.56,7.64,8.36,7.1,7.05
58,58,8.3,4,9.02,7.78,8.56,8.95,7.44,7.82,8.7
59,59,8.4,1,7.91,9.06,8.11,9.07,7.58,8.9,8.28
60,60,9.1,1,8.58,9.33,8.72,9.51,9.84,9.05,8.61
61,61,8.5,3,8.9,9.86,7.17,7.58,9.66,7.98,8.2
62,62,8.3,3,7.95,8.91,8.45,8.69,7.3,9.28,7.78
63,63,8.5,1,7.56,9.91,8.01,8.37,9.06,7.09,9.83
64,64,8.1,4,7.99,7.97,8.42,7.38,7.04,8.31,9.33
65,65,8.6,1,9.23,9.41,8.28,7.72,8.41,7.39,9.82
66,66,8.8,1,8.45,9.85,8.56,7.61,9.87,8.66,8.48
67,67,8.5,4,8.81,7.99,7.21,7.64,9.64,8.26,9.94
68,68,8.5,4,9.6,7.79,8.44,8.44,8.4,7.12,9.77
69,69,8.5,2,7.79,8.23,9.35,7.64,8.01,9.45,8.82
70,70,8.4,2,8.54,8.62,9.58,8.95,8.52,7.53,7.23
71,71,8.7,4,7.86,9.58,9.48,9.43,7.7,9.53,7.15
72,72,8.9,4,7.78,9.53,8.59,9.89,9.64,9.27,7.29
73,73,8.3,4,7.81,7.95,7.81,8.77,9.88,7.15,8.65
74,74,9.0,4,8.51,9.26,9.83,8.32,8.8,8.73,9.45
75,75,9.1,3,9.29,8.0,9.77,9.94,7.64,9.59,9.54
76,76,8.0,1,9.09,7.7,7.25,9.85,7.38,7.57,7.14
77,77,8.7,3,7.11,9.57,7.1,9.17,8.68,9.65,9.55
78,78,9.1,4,9.75,8.21,9.65,9.03,9.08,7.77,9.9
79,79,7.9,4,7.23,7.18,8.57,8.81,7.5,7.79,7.92
80,80,8.6,4,8.96,8.86,7.95,7.23,8.77,9.17,9.08
81,81,8.5,2,8.08,9.68,7.85,7.41,9.24,7.76,9.71
82,82,8.4,3,7.42,9.58,8.09,8.1,7.17,9.42,8.99
83,83,8.3,4,7.6,9.26,7.82,9.1,8.15,9.15,7.11
84,84,8.8,4,9.97,7.25,9.07,9.73,8.81,8.53,8.17
85,85,8.5,2,8.62,7.06,9.88,9.19,7.64,7.59,9.84
86,86,8.1,4,7.23,8.05,7.81,7.94,7.9,9.94,7.87
87,87,8.7,1,8.74,9.14,9.43,8.22,8.1,9.49,7.52
88,88,8.8,3,8.03,9.88,9.64,8.05,7.81,9.73,8.27
89,89,8.4,4,8.04,7.96,7.43,9.5,7.9,8.72,9.49
90,90,8.1,4,8.01,8.66,7.12,7.2,7.57,8.45,9.93
91,91,9.0,4,9.39,8.66,8.69,9.79,8.15,9.66,8.34
92,92,8.8,2,9.24,7.69,8.67,9.67,8.23,9.66,8.51
93,93,8.8,3,9.59,8.48,8.41,9.31,9.63,8.03,7.82
94,94,8.1,4,7.25,7.34,7.39,7.19,9.95,9.64,8.04
95,95,8.3,4,7.54,8.81,8.14,8.47,9.07,7.99,8.01
96,96,8.7,2,9.81,8.62,9.33,7.19,8.99,8.35,8.44
97,97,8.5,4,9.91,7.91,8.3,8.56,7.31,9.04,8.18
98,98,8.7,1,7.82,9.49,7.44,8.34,9.5,9.68,8.35
99,99,8.9,3,8.82,9.2,8.37,8.77,8.91,9.63,8.3
100,100,8.4,4,7.11,7.62,9.47,9.46,8.93,8.5,7.44
101,101,8.1,4,8.78,7.52,7.33,9.37,9.0,7.8,7.06
102,102,8.1,4,7.92,8.31,7.52,8.52,7.35,9.07,8.02
103,103,8.0,2,8.42,7.55,8.23,7.34,8.61,7.91,7.71
104,104,8.3,3,9.06,8.65,7.3,7.35,9.36,8.08,8.32
105,105,8.7,4,8.95,8.23,7.76,9.94,7.29,8.85,9.59
93,106,8.8,4,7.9,8.72,9.31,8.63,9.44,7.94,9.39
18,107,9.1,2,9.83,9.7,7.91,9.84,8.48,9.37,8.76
25,108,8.8,4,8.91,7.28,8.17,9.86,8.1,9.89,9.45
30,109,8.2,1,9.8,7.82,9.79,7.58,7.08,7.98,7.23
31,110,8.5,2,8.04,9.16,9.61,7.46,7.27,8.5,9.61
32,111,8.7,4,9.1,7.01,7.78,8.93,9.71,9.33,9.02
47,112,8.9,4,9.79,9.26,7.39,9.2,8.77,9.32,8.85
48,113,8.6,4,8.12,7.03,9.18,9.27,8.33,8.05,9.93
49,114,8.5,2,7.54,9.95,7.99,8.39,9.0,8.59,7.78
61,115,9.1,3,8.68,9.9,9.54,8.34,9.68,9.33,8.56
66,116,8.1,4,8.31,8.89,7.68,8.11,9.09,7.27,7.68
72,117,8.1,4,8.5,7.63,8.12,7.45,9.46,7.2,8.6
118,118,8.8,2,8.81,9.89,8.16,9.52,9.82,8.69,7.06
119,119,8.7,4,9.39,8.87,9.06,9.32,8.2,8.67,7.1
120,120,8.8,1,9.79,9.66,9.0,7.36,8.81,8.22,8.83
121,121,8.4,2,7.12,7.21,9.49,8.42,9.57,7.93,9.32
122,122,8.8,4,9.42,9.95,8.23,9.04,8.68,7.64,8.3
123,123,8.4,4,7.64,7.47,7.42,7.51,9.45,9.61,9.92
124,124,8.4,4,8.38,8.98,7.36,7.05,9.94,8.7,8.29
125,125,8.5,2,7.09,8.62,8.45,8.05,9.22,8.76,9.39
126,126,8.7,3,9.65,9.69,8.16,7.3,8.83,8.92,8.59
127,127,8.4,4,7.0,8.4,7.62,8.8,8.59,9.91,8.69
128,128,8.8,4,7.48,7.33,9.72,8.55,8.77,9.83,9.67
129,129,8.6,2,8.72,8.2,9.75,8.27,9.73,8.24,7.64
130,130,9.1,4,7.56,9.95,8.83,9.84,9.92,8.4,8.88
131,131,8.3,1,9.78,9.28,7.67,7.12,8.55,7.96,7.53
132,132,8.7,3,7.22,9.2,9.63,9.0,9.25,7.59,9.05
133,133,8.2,4,8.64,8.16,7.46,7.54,8.75,8.27,8.23
134,134,8.5,4,9.5,7.29,9.55,8.54,8.39,8.92,7.26
135,135,8.1,4,9.03,9.87,8.26,7.01,8.22,7.31,7.34
136,136,8.8,2,9.79,7.05,8.9,9.53,7.91,9.67,8.82
137,137,8.5,3,7.25,8.12,9.23,9.49,8.63,9.79,7.17
138,138,9.0,4,8.18,8.67,9.32,9.51,8.24,9.27,9.76
139,139,8.1,4,7.87,9.38,7.93,8.33,8.01,8.04,7.33
140,140,8.4,2,9.14,8.63,8.54,7.04,8.07,9.3,8.4
141,141,8.2,4,7.19,7.16,7.83,8.91,7.92,9.06,9.09
142,142,8.7,1,9.51,8.03,8.81,8.64,9.71,7.32,8.8
143,143,8.2,4,8.42,9.11,8.38,7.15,7.8,9.66,7.2
144,144,8.4,4,7.33,8.3,7.28,7.59,9.7,9.19,9.41
145,145,8.5,4,8.77,7.61,7.5,9.35,9.95,7.57,8.99
146,146,8.1,4,7.39,9.16,8.26,8.34,8.17,7.76,7.74
147,147,8.6,2,9.85,8.14,8.38,7.13,9.18,7.76,9.62
148,148,8.7,3,8.83,8.82,7.22,9.82,7.6,9.63,9.09
149,149,8.5,4,7.09,9.94,9.26,8.82,7.1,7.93,9.12
150,150,8.5,4,7.91,9.16,9.3,7.2,8.61,7.96,9.4
151,151,9.0,2,9.22,8.24,8.49,9.68,9.27,8.48,9.44
152,152,8.2,4,9.49,7.57,8.6,7.68,7.42,7.34,9.64
153,153,8.3,1,8.39,9.3,8.33,7.6,8.89,8.47,7.08
154,154,8.5,2,8.91,9.13,9.66,9.26,7.05,8.38,7.28
155,155,8.0,4,9.95,7.08,8.02,7.47,7.37,8.86,7.52
156,156,8.7,4,8.78,8.05,9.1,8.64,8.77,8.35,9.29
157,157,8.1,4,8.76,8.0,7.19,7.63,8.63,7.23,9.09
158,158,8.2,2,9.04,8.51,8.51,7.21,7.66,8.51,8.1
159,159,8.5,3,9.52,7.5,8.26,8.49,8.87,9.28,7.47
160,160,8.3,4,7.13,7.82,8.95,7.12,9.72,8.62,8.91
161,161,8.3,4,7.43,9.77,7.17,9.37,7.98,7.27,8.81
162,162,8.4,2,7.64,7.63,9.65,8.81,8.49,7.37,9.02
163,163,8.7,4,8.87,9.58,7.48,7.97,9.55,8.65,9.06
164,164,8.5,1,7.65,9.1,9.83,7.58,8.29,8.37,9.02
165,165,8.6,2,9.32,9.78,8.08,8.57,8.31,8.08,8.27
166,166,8.2,4,7.97,8.28,7.62,7.45,8.7,9.78,7.55
167,167,8.5,4,9.69,7.75,9.73,9.84,7.05,7.09,8.7
168,168,8.6,4,8.11,9.5,8.29,7.1,9.65,8.71,9.01
169,169,8.2,2,8.12,7.91,9.05,7.04,8.11,8.14,9.02
170,170,8.3,3,9.66,7.6,8.57,7.41,9.99,7.8,7.04
171,171,8.6,4,8.93,7.33,8.38,9.96,8.69,7.49,9.33
172,172,8.1,4,7.93,9.79,7.03,8.2,9.04,7.85,7.15
173,173,8.2,2,8.32,9.22,8.73,7.12,7.23,7.9,8.82
174,174,7.8,4,7.15,7.54,7.63,7.36,7.93,8.7,8.32
175,175,8.4,1,8.07,7.67,8.39,8.16,7.82,9.39,9.59
176,176,8.1,4,7.27,7.56,7.48,9.23,7.19,9.75,7.91
177,177,8.7,4,9.84,9.36,8.32,7.58,8.86,7.58,9.55
178,178,8.4,4,8.26,9.27,7.15,9.04,9.8,7.36,8.14
179,179,8.5,4,9.73,8.07,7.22,7.77,7.99,9.46,9.01
180,180,8.9,2,9.61,9.88,9.57,9.73,8.36,7.07,8.14
181,181,8.4,3,8.36,7.27,9.75,9.63,8.99,7.25,7.53
182,182,8.8,4,9.16,9.78,7.24,9.38,9.3,9.24,7.46
183,183,8.6,4,8.08,8.23,9.23,8.05,8.89,9.45,8.52
184,184,8.7,2,8.43,7.34,8.61,9.78,8.93,8.75,8.85
185,185,7.8,4,7.83,8.27,7.56,7.06,8.21,7.69,7.97
186,186,9.0,1,8.62,9.6,9.7,8.0,8.93,9.72,8.28
187,187,8.3,5,7.43,7.82,7.2,7.8,9.58,9.51,9.05
188,188,8.6,4,9.63,8.24,8.36,9.62,9.29,7.07,7.82
189,189,8.7,4,8.96,9.47,8.27,8.47,9.03,8.19,8.64
190,190,9.4,4,8.08,9.21,9.53,9.6,9.94,9.82,9.82
191,191,8.1,2,8.65,8.09,8.35,8.48,7.22,7.56,8.52
192,192,8.3,3,8.78,9.04,7.1,8.79,7.11,8.52,8.55
193,193,9.1,4,8.85,8.88,8.09,9.29,9.8,9.13,9.52
194,194,8.6,4,7.65,7.92,9.6,7.7,9.63,8.89,9.12
195,195,9.1,2,9.05,9.18,8.55,9.67,9.26,9.66,8.54
196,196,7.6,4,7.24,8.06,8.24,7.35,7.48,7.34,7.58
1122,1,9.0,5,9.46,8.69,7.72,8.58,9.8,9.64,0.0
1123,2,7.9,2,9.73,8.33,7.42,7.36,7.42,7.32,0.0
1124,3,8.7,4,9.96,7.91,7.82,9.89,8.89,7.99,1.0
1125,4,8.5,3,7.84,8.21,8.31,9.35,8.41,8.78,0.0
1126,5,8.1,2,7.1,7.09,9.67,7.44,9.62,7.84,0.0
1127,6,8.7,4,8.83,9.56,8.61,8.13,9.13,7.96,0.0
1128,7,8.9,1,9.07,9.63,9.89,7.25,9.04,8.63,0.0
1129,8,7.8,2,7.01,7.37,7.45,8.95,7.03,8.88,1.0
1130,9,8.1,2,7.35,8.66,7.03,8.4,7.81,9.63,1.0
1131,10,8.4,1,9.96,7.59,7.03,8.17,8.02,9.8,0.0
1132,11,8.3,4,9.1,8.49,9.26,7.38,7.98,7.43,0.0
1133,12,8.3,4,8.18,9.48,7.66,9.75,7.87,7.02,1.0
1134,13,8.5,3,9.67,7.01,7.65,9.34,7.92,9.47,1.0
1135,14,8.4,4,9.48,9.71,9.44,7.33,7.14,7.48,0.0
1136,15,9.2,4,9.61,9.8,9.72,8.93,9.87,7.41,0.0
1137,16,8.2,1,8.08,7.52,7.65,8.43,7.95,9.39,0.0
1138,17,8.8,1,7.17,8.85,9.55,9.97,8.59,8.56,0.0
1139,18,8.3,2,7.74,8.5,8.31,7.88,7.45,9.88,1.0
1140,19,8.5,1,7.25,7.83,9.16,9.43,9.19,8.27,0.0
1141,20,8.1,2,8.33,8.15,8.95,8.29,7.07,7.83,1.0
1142,21,8.7,4,9.51,8.1,9.82,7.49,9.81,7.67,0.0
1143,22,8.7,4,9.37,8.32,9.8,7.18,8.78,8.87,0.0
1144,23,8.1,3,7.17,9.28,7.37,9.33,7.44,7.86,0.0
1145,24,8.7,4,8.44,8.13,8.26,9.6,8.8,9.18,1.0
1146,25,8.3,4,9.37,8.39,7.07,7.84,7.99,8.98,0.0
1147,26,8.4,4,9.33,8.4,7.35,8.53,8.1,8.92,1.0
1148,27,8.7,3,8.96,9.03,7.38,9.86,9.14,7.7,0.0
1149,28,8.1,4,8.58,7.09,7.54,8.79,8.92,7.65,1.0
1150,29,8.1,1,7.07,7.23,8.14,9.55,8.96,7.66,0.0
1151,30,8.3,1,8.77,7.95,8.58,7.85,7.74,8.76,1.0
1152,31,8.7,1,7.14,9.23,8.43,9.4,9.95,8.11,0.0
1153,32,8.6,4,7.78,7.49,9.64,9.89,9.64,7.36,0.0
1154,33,8.6,4,9.99,8.35,7.43,9.23,8.64,8.15,0.0
1155,34,8.1,2,7.96,7.27,7.14,9.82,8.84,7.84,0.0
1156,35,8.7,4,9.15,9.0,7.82,8.08,9.96,8.32,1.0
1157,36,8.5,4,8.91,9.8,7.9,8.92,7.13,8.23,0.0
1158,37,8.8,4,8.56,7.58,8.91,8.96,9.53,9.54,0.0
1159,38,8.1,4,8.77,7.45,7.45,7.43,8.96,8.51,1.0
1160,39,8.8,1,7.55,9.65,9.82,7.73,8.64,9.12,0.0
1161,40,8.5,4,7.75,8.05,8.28,10.0,8.75,8.47,0.0
1162,41,8.7,3,9.36,8.92,7.34,8.98,8.83,8.54,0.0
1163,42,8.2,4,7.28,7.03,8.24,7.14,9.83,9.89,0.0
1164,43,8.8,3,9.67,9.2,9.97,7.23,8.78,8.08,1.0
1165,44,8.1,2,8.39,7.38,7.07,7.46,8.19,9.82,0.0
1166,45,8.7,2,7.25,9.47,8.5,8.87,9.39,8.9,0.0
1167,46,8.6,4,9.72,8.45,7.79,9.62,7.88,8.23,0.0
1168,47,8.6,4,7.22,9.21,7.96,8.05,9.33,9.96,0.0
1169,48,9.1,3,8.68,8.35,9.56,9.33,9.88,8.66,1.0
1170,49,9.5,1,9.29,9.47,9.33,9.89,9.1,9.77,1.0
1171,50,8.9,2,9.94,9.8,8.17,9.37,8.07,8.19,0.0
1172,51,8.6,4,9.17,8.16,8.26,8.77,9.63,7.56,1.0
1173,52,7.9,4,7.58,7.09,7.41,8.23,7.46,9.49,0.0
1174,53,8.4,1,7.99,8.95,9.37,8.23,8.56,7.21,0.0
1242,54,8.5,2,8.66,7.64,8.2,8.84,9.54,8.17,1.0
1247,55,8.0,3,7.44,7.15,7.11,9.79,9.3,7.45,0.0
1248,56,8.5,4,8.39,8.6,7.55,7.89,9.07,9.64,0.0
1178,57,8.6,1,9.25,9.67,8.82,7.57,8.76,7.53,0.0
1179,58,8.5,4,9.85,9.97,8.82,7.32,7.22,7.99,0.0
1180,59,8.0,4,8.74,7.51,8.28,8.46,7.69,7.53,0.0
1181,60,8.5,4,8.07,7.71,8.74,9.2,8.59,8.9,0.0
1182,61,8.3,4,9.34,7.25,8.65,8.26,8.58,7.5,0.0
1183,62,8.1,1,7.38,7.7,9.91,7.69,8.0,8.06,0.0
1184,63,8.5,3,8.02,8.96,8.7,7.78,8.94,8.4,0.0
1185,64,7.9,4,8.51,7.61,9.37,7.68,7.35,7.17,0.0
1186,65,8.5,2,7.14,8.74,7.63,9.9,7.76,9.86,0.0
1187,66,8.6,1,8.82,9.38,8.7,8.87,7.43,8.15,0.0
1188,67,8.1,4,7.5,9.92,7.85,7.17,8.02,8.33,1.0
1189,68,8.0,2,9.19,8.38,7.34,7.03,8.44,7.37,0.0
1190,69,8.5,1,8.0,8.6,8.65,9.86,8.36,7.66,0.0
1191,70,8.1,4,8.45,7.43,7.36,7.23,9.86,8.36,0.0
1242,71,7.9,4,7.63,7.65,9.28,7.04,8.3,7.53,0.0
1247,72,8.9,3,9.53,9.73,9.45,8.44,7.57,8.75,0.0
1248,73,8.5,2,8.61,7.47,7.89,8.83,9.3,9.11,0.0
1195,74,8.1,2,7.88,7.36,7.04,9.19,9.28,7.71,0.0
1196,75,8.2,1,7.42,7.83,9.97,7.93,7.19,8.62,0.0
1197,76,8.4,1,9.43,7.81,9.47,8.98,7.5,7.1,0.0
1198,77,8.6,4,7.79,8.1,9.85,8.82,8.09,8.75,0.0
1199,78,8.7,1,8.37,8.69,8.68,7.05,9.79,9.7,0.0
1200,79,9.5,1,9.62,9.84,9.41,9.24,9.9,9.17,0.0
1201,80,8.7,1,9.31,9.74,8.03,8.68,8.2,8.47,1.0
1202,81,8.2,1,7.79,8.91,7.26,7.08,9.77,8.18,0.0
1203,82,8.2,4,9.4,7.19,9.73,7.67,7.82,7.39,1.0
1204,83,8.6,4,8.81,9.16,7.35,7.4,9.12,9.6,0.0
1205,84,8.5,1,7.93,8.66,7.83,9.29,7.6,9.72,0.0
1123,85,8.9,4,8.64,7.94,9.75,9.56,9.77,7.65,0.0
1124,86,8.2,1,8.41,9.92,7.29,7.31,7.67,8.71,0.0
1129,87,8.4,5,8.09,8.71,8.04,8.11,7.39,9.83,0.0
1131,88,8.3,2,7.49,8.2,7.74,9.14,7.74,9.31,0.0
1132,89,7.7,5,7.5,8.53,7.76,7.31,7.76,7.55,0.0
1134,90,8.4,4,8.31,9.43,7.32,9.2,8.9,7.33,0.0
1135,91,8.3,1,8.54,8.24,7.74,8.38,7.82,8.81,0.0
1136,92,7.8,1,7.35,7.31,8.51,8.84,7.42,7.65,1.0
1137,93,8.5,2,9.51,8.17,9.93,8.35,7.16,7.86,0.0
1138,94,8.5,1,7.59,8.39,9.66,7.72,7.73,9.91,0.0
1154,95,8.2,3,8.69,8.95,7.84,7.03,9.1,7.49,0.0
1158,96,8.0,5,7.02,9.76,7.49,8.47,7.43,7.83,1.0
1159,97,8.0,4,9.29,7.43,9.38,7.19,7.23,7.62,1.0
1165,98,8.2,1,7.05,8.64,7.32,7.98,7.94,9.98,0.0
1166,99,8.7,1,9.81,8.95,9.09,7.2,9.52,7.72,0.0
1168,100,9.0,4,9.96,9.35,9.8,8.83,8.87,7.1,0.0
1170,101,8.0,4,8.92,8.29,7.5,8.2,7.75,7.05,0.0
1172,102,8.5,3,7.91,9.82,7.98,9.67,7.62,8.18,0.0
1185,103,8.3,4,7.92,8.45,7.87,7.96,9.97,7.75,0.0
1186,104,8.8,1,7.48,9.83,9.39,9.54,7.14,9.19,0.0
1187,105,8.3,4,8.75,7.83,8.01,9.24,7.85,8.24,1.0
1227,106,8.3,2,8.22,9.47,7.83,7.22,9.27,7.82,1.0
1228,107,8.3,3,9.62,8.4,7.03,7.18,9.25,8.61,0.0
1229,108,9.2,2,8.96,9.61,9.7,9.96,7.09,9.81,0.0
1230,109,7.9,3,7.05,8.27,8.41,7.1,8.35,8.1,0.0
1231,110,8.5,1,8.01,8.72,8.49,8.55,8.83,8.34,0.0
1232,111,8.5,3,8.24,9.71,8.37,8.97,8.29,7.65,1.0
1233,112,8.5,1,9.93,7.4,9.11,9.53,7.33,7.55,0.0
1234,113,8.4,2,9.11,8.92,7.75,7.62,9.54,7.75,0.0
1235,114,9.0,3,9.61,10.0,8.26,9.31,9.65,7.02,0.0
1236,115,8.7,1,9.93,7.37,9.04,9.84,7.17,8.59,1.0
1237,116,9.0,4,9.09,8.95,9.63,8.18,8.57,9.61,1.0
1238,117,8.2,2,8.73,9.29,7.08,8.8,7.38,8.14,0.0
1239,118,8.0,3,8.16,7.35,9.96,7.18,8.47,7.18,0.0
1240,119,7.9,2,8.05,8.55,7.73,7.04,7.01,9.08,1.0
1241,120,8.6,3,9.96,9.85,7.52,7.32,8.75,7.99,1.0
1242,121,8.2,1,9.42,7.08,8.62,7.23,7.84,9.16,0.0
1243,122,8.4,2,8.01,9.61,7.94,7.96,9.49,7.4,0.0
1244,123,8.8,5,7.03,8.93,8.74,8.44,9.69,9.78,1.0
1245,124,8.8,2,9.95,9.87,7.72,9.48,7.69,8.26,0.0
1246,125,8.5,2,7.36,9.89,8.79,7.51,9.0,8.24,0.0
1247,126,8.1,2,7.65,7.79,9.85,7.96,8.35,7.22,0.0
1248,127,8.0,1,8.87,7.22,7.58,7.68,9.42,7.22,0.0
1249,128,8.6,4,9.23,8.94,8.45,9.43,8.11,7.16,0.0
1250,129,8.4,1,7.05,9.69,7.06,7.26,9.54,9.77,1.0
1251,130,8.9,4,9.79,7.26,8.39,8.47,9.81,9.64,1.0
1252,131,8.5,1,8.36,7.74,7.26,9.22,9.72,8.81,0.0
1253,132,8.8,2,7.16,9.46,9.96,8.2,8.6,9.51,1.0
1254,133,8.1,2,7.51,7.23,9.17,9.39,7.16,8.0,0.0
1123,134,8.6,4,8.73,9.02,7.76,8.49,9.48,8.2,0.0
1124,135,8.2,2,9.46,8.63,8.12,7.35,8.36,7.53,0.0
1129,136,8.2,5,8.79,8.48,8.21,8.02,7.83,7.79,1.0
1131,137,8.9,2,7.57,9.66,7.13,9.61,9.53,9.95,1.0
1132,138,7.7,4,7.55,7.48,8.16,7.84,7.84,7.54,1.0
1134,139,8.7,3,8.54,9.62,7.12,9.67,8.33,8.74,1.0
1135,140,8.1,1,7.79,7.61,7.76,9.75,8.64,7.03,0.0
1136,141,8.4,5,7.95,9.3,7.5,7.86,8.53,9.39,0.0
1137,142,8.4,5,8.69,7.28,8.5,7.45,9.43,9.13,1.0
1138,143,9.4,1,8.99,9.62,8.61,9.8,9.78,9.6,1.0
1154,144,8.7,1,10.0,7.28,8.74,7.76,8.64,9.97,1.0
1158,145,7.9,1,7.07,7.75,7.81,9.52,7.26,7.95,0.0
1159,146,8.4,1,9.28,8.53,8.47,7.45,7.09,9.66,0.0
1165,147,8.6,1,9.69,7.32,7.82,9.85,7.36,9.57,0.0
1166,148,8.4,4,8.94,7.94,8.85,9.6,7.15,8.1,0.0
1168,149,9.0,3,9.37,9.86,9.58,9.25,7.66,8.5,0.0
1170,150,8.8,5,8.63,9.8,9.54,9.82,7.19,8.05,0.0
1172,151,8.8,1,7.02,9.22,8.34,9.91,9.36,9.03,0.0
1185,152,8.0,2,7.05,7.71,9.34,7.36,7.36,9.07,0.0
1242,153,8.3,1,7.2,8.52,9.52,8.73,8.06,7.94,0.0
1247,154,8.7,1,8.79,8.67,7.18,9.44,9.94,8.27,1.0
1248,155,8.4,4,7.07,7.92,7.53,9.33,8.75,9.85,0.0
1277,156,8.0,1,9.31,7.65,7.83,7.02,7.83,8.3,0.0
1278,157,7.7,1,7.12,7.23,8.78,7.1,8.06,7.97,0.0
1279,158,8.3,2,7.01,9.08,7.06,9.08,9.79,7.88,1.0
1280,159,8.3,1,8.43,7.14,7.27,8.27,9.84,8.94,1.0
1281,160,8.3,3,7.45,8.86,7.07,7.42,9.32,9.47,0.0
1282,161,8.9,1,9.92,8.61,7.37,8.64,8.86,9.81,1.0
1283,162,8.7,4,9.84,8.56,8.96,8.9,8.63,7.02,0.0
1284,163,8.5,3,9.5,9.32,8.38,7.42,7.18,9.05,0.0
1285,164,8.1,1,8.23,9.5,7.72,7.89,7.37,7.73,0.0
